AMOSTRAGEM 0
Origem - Destino ['193S7', '2S28']
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.10899996758
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.76999998093
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.78200006485
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.20000004768
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.60699987411
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.5490000248
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.78800010681
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:7.27699995041
AMOSTRAGEM 1
Origem - Destino ['77S7', '119S9']
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:4.44799995422
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:4.58100008965
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:4.9509999752
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:4.88000011444
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:4.67299985886
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:4.43700003624
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:4.44000005722
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:4.40700006485
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:4.36299991608
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:4.16899991035
Origem - Destino ['163S2', '180S8']
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:4.59399986267
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:4.90300011635
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:5.27099990845
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:4.93799996376
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:5.12699985504
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:4.78099989891
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:5.06200003624
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:5.10199999809
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:5.12800002098
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:4.81299996376
Origem - Destino ['574S8', '132S4']
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:5.84800004959
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:5.28500008583
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:5.11899995804
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:5.26900005341
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:5.36500000954
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:5.34200000763
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:5.11999988556
Otimizacao Distancia - Ants:34 - Init pheromone:0.000390175582523 - Alpha:0.431742408869 - Beta:6 - Evaporation:0.429893769953 - Result:(None, None) - Time:5.66000008583
