AMOSTRAGEM 0
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.65199995041
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.96700000763
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.87099981308
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.87200021744
Origem - Destino ['251S9', '161S3']
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.81699991226
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.85899996758
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.92500019073
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.06999993324
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.16400003433
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.22099995613
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.95199990273
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.00600004196
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.125
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.16600012779
AMOSTRAGEM 1
Origem - Destino ['196S26', '105S8']
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:1.9889998436
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.21600008011
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.18799996376
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.22600007057
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.14499998093
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.15499997139
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.12400007248
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.19899988174
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.2650001049
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.3109998703
Origem - Destino ['210S0', '446S5']
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.44900012016
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.63399982452
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:3.14900016785
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:3.19199991226
Otimizacao Distancia - Ants:16 - Init pheromone:0.00010828445562 - Alpha:0.777383201205 - Beta:6 - Evaporation:0.467852791384 - Result:(None, None) - Time:2.53999996185
