stop_id,stop_name,stop_desc,stop_lat,stop_lon
7S30,R 7 7S30,POLITÉCNICO (METRO) - FES CUAUTITLÁN CAMPO 4 7S30,19.64955256904037,-99.1963801429779
553S1,R 553 553S1,VILLA DE LAS FLORES - BOULEVARD PUERTO AÉREO (METRO) 553S1,19.649538400000004,-99.09181249999999
462S8,R 462 462S8,MARTÍN CARRERA (METRO) - SAN MIGUEL BOCA NEGRA 462S8,19.649169999456664,-99.05826438213808
504S29,R 504 504S29,MARTÍN CARRERA (METRO) - PRADOS NORTE 504S29,19.649121245412122,-99.0771281425633
340S29,R 340 340S29,EL ROSARIO (METRO) - VILLA DE LAS FLORES 340S29,19.64890496920818,-99.09665052986482
458S3,R 7 458S3,POLITÉCNICO (METRO) - FES CUAUTITLÁN CAMPO 4 458S3,19.647965581954498,-99.19639944316599
312S4,R 312 312S4,EL ROSARIO (METRO) - PANTEÓN CAHUACÁN 312S4,19.64694936749062,-99.39508591240252
196S3,R 196 196S3,EJE 3 - CUATRO CAMINOS (METRO) 196S3,19.64632082313211,-99.09730581775312
519S10,R 11 519S10,CUAUTITLAN IZCALI CAMPO 1 - POLITÉCNICO (METRO) 519S10,19.64485284207236,-99.20790231277377
7S29,R 7 7S29,POLITÉCNICO (METRO) - FES CUAUTITLÁN CAMPO 4 7S29,19.644318440097052,-99.19548504322862
614S2,R 119 614S2,EL ROSARIO (METRO) - SAN ANTONIO 614S2,19.64428282748035,-99.1679464746494
