shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
149SH,19.379129178154102,-99.02549043398167,3826
149SH,19.37645605126539,-99.0215781026693,3827
149SH,19.365249441677967,-99.00653678416835,3828
149SH,19.36084443448211,-99.0006004552985,3829
149SH,19.360336669908403,-98.9999172037844,3830
149SH,19.36000761831439,-98.99950209025141,3831
149SH,19.357940173261028,-98.99655697693841,3832
149SH,19.322468327296548,-98.95861601773498,3833
149SH,19.322356175248387,-98.95870511528015,3834
149SH,19.322244186145895,-98.95879271626016,3835
149SH,19.321577824574447,-98.95919464964544,3836
149SH,19.313509948975334,-98.96355163877618,3837
149SH,19.312270120422514,-98.96374166028806,3838
149SH,19.306159525603626,-98.96867754002042,3839
149SH,19.306584032832912,-98.97188577433596,3840
149SH,19.306269803364334,-98.97370133792,3841
149SH,19.304250970243157,-98.9765606532765,3842
149SH,19.30136570770674,-98.98061392014175,3843
149SH,19.29601982445357,-98.9881368365564,3844
149SH,19.29337688701532,-98.99273368202805,3845
149SH,19.29422453256199,-98.99791838776724,3846
149SH,19.27904827731831,-99.00141814885914,3847
149SH,19.278588143735586,-99.00148346417912,3848
149SH,19.27395383448663,-99.0027906455881,3849
149SH,19.268480756090295,-99.00076494064119,3850
149SH,19.267343610122385,-99.0010287301779,3851
149SH,19.26609080305887,-98.99998295623475,3852
149SH,19.265701778726324,-98.99943973278825,3853
149SH,19.263231764317055,-98.99999963025994,3854
149SH,19.258388196419673,-99.00298425450782,3855
149SH,19.255621818150225,-99.00860826426847,3856
149SH,19.255621818150225,-99.00860826426847,3857
149SH,19.255667572921737,-99.00875000962272,3858
149SH,19.255905521929613,-99.00945193571411,3859
149SH,19.255964670598622,-99.00960900531749,3860
149SH,19.255981551623503,-99.0096538330544,3861
150SH,19.357001721849812,-99.09637706701903,3862
150SH,19.356041132132976,-99.10431951600363,3863
150SH,19.35609249371359,-99.10492337406974,3864
150SH,19.356104998515566,-99.10506835919632,3865
150SH,19.35614767136793,-99.10556313362319,3866
150SH,19.356401994694103,-99.10824438360726,3867
150SH,19.35654543970834,-99.10950857011929,3868
150SH,19.35648380425619,-99.11032625409675,3869
150SH,19.35708152213367,-99.11587448945421,3870
150SH,19.357264619603395,-99.11697378112805,3871
150SH,19.35773795613016,-99.11932720911484,3872
150SH,19.35784069252827,-99.12115742422233,3873
150SH,19.35854688749172,-99.12184159600432,3874
150SH,19.364170415849483,-99.12234960454019,3875
150SH,19.36629384200052,-99.12998193629882,3876
150SH,19.36722654593342,-99.13763802836822,3877
150SH,19.367826227270072,-99.14077650574558,3878
150SH,19.368700660674943,-99.14616424790434,3879
150SH,19.368937001300655,-99.14771911990104,3880
150SH,19.370055521906938,-99.15488155701853,3881
150SH,19.37061585064768,-99.15854280782202,3882
151SH,19.34171878097672,-99.14114233158661,3883
151SH,19.34263957834213,-99.14318801493614,3884
151SH,19.341502938150363,-99.14376055889797,3885
151SH,19.338476563642356,-99.1428781250298,3886
151SH,19.3368407089682,-99.14231930935335,3887
151SH,19.328966201177327,-99.13987569528223,3888
151SH,19.324181596345106,-99.138427141876,3889
151SH,19.3198571,-99.1382744,3890
151SH,19.318476814287003,-99.13885182667758,3891
151SH,19.316875824218222,-99.13836779860624,3892
151SH,19.316851998186305,-99.1382892568507,3893
151SH,19.31204047466346,-99.13544128202474,3894
151SH,19.308858542387917,-99.13477335683821,3895
151SH,19.30842152571286,-99.13470372947707,3896
151SH,19.30756679526863,-99.13325563917589,3897
151SH,19.306358770761374,-99.13046731933568,3898
151SH,19.304588914427644,-99.12636406963573,3899
151SH,19.303583456985514,-99.1239376384019,3900
151SH,19.301462024023955,-99.11744416873582,3901
151SH,19.299832613755044,-99.10286601225948,3902
151SH,19.299832613755044,-99.10286601225948,3903
151SH,19.29559795673856,-99.09922907201992,3904
151SH,19.30217875856061,-99.08115899869317,3905
151SH,19.301184891748047,-99.07939921934158,3906
151SH,19.299364650594054,-99.0769035867698,3907
151SH,19.2987280895184,-99.07598996162886,3908
152SH,19.4265337,-99.13296679999999,3909
152SH,19.4265337,-99.13296679999999,3910
152SH,19.4265337,-99.13296679999999,3911
152SH,19.41367427989688,-99.13500909255855,3912
152SH,19.413262575954267,-99.13507293224103,3913
152SH,19.38133912459063,-99.14006949420941,3914
152SH,19.379989493609543,-99.14026083714352,3915
152SH,19.359109811734033,-99.1435803680914,3916
152SH,19.351538807212457,-99.14589197062968,3917
152SH,19.348778118982455,-99.14554451728817,3918
152SH,19.341412748893312,-99.14372822994008,3919
152SH,19.338757242566643,-99.14296460074527,3920
152SH,19.33175512752571,-99.14072669908487,3921
152SH,19.327715734190413,-99.13950496207084,3922
152SH,19.32266505325751,-99.13795551433404,3923
152SH,19.31882553344565,-99.13864013710773,3924
152SH,19.316834199203445,-99.13944377185267,3925
152SH,19.316471379036795,-99.13955651007856,3926
152SH,19.3107287,-99.14136529999999,3927
152SH,19.29263909160882,-99.15152213703358,3928
152SH,19.282715317658134,-99.13979795723436,3929
152SH,19.282513608111987,-99.1395584496471,3930
152SH,19.2769004,-99.1331296,3931
152SH,19.27154015865627,-99.13105865827644,3932
152SH,19.266065833885154,-99.12756694930586,3933
152SH,19.262136992959768,-99.12755117012723,3934
152SH,19.251072415880223,-99.11966234365893,3935
152SH,19.25041749964502,-99.11933601944011,3936
152SH,19.24945843011153,-99.11887677553678,3937
153SH,19.4209472,-99.1761272,3938
153SH,19.4209472,-99.1761272,3939
153SH,19.421240066081364,-99.17485084725826,3940
153SH,19.425008748513246,-99.1766208555975,3941
153SH,19.425124888293837,-99.18728101017815,3942
153SH,19.426040128363947,-99.19327629145836,3943
153SH,19.42640853891451,-99.1956287286313,3944
153SH,19.426663438712072,-99.19725513310436,3945
153SH,19.424992193036026,-99.20881488121485,3946
153SH,19.42458633767306,-99.21029036830035,3947
153SH,19.424194616699303,-99.2118711863879,3948
153SH,19.423394317834507,-99.21511336874363,3949
153SH,19.40679225624629,-99.22666297421029,3950
153SH,19.41011967654318,-99.23352008484797,3951
153SH,19.406806222381423,-99.24143948821943,3952
153SH,19.40450348747161,-99.24364554092587,3953
153SH,19.395613601032498,-99.2564529882134,3954
153SH,19.395247455973575,-99.25684006994945,3955
153SH,19.3929087,-99.25913039999999,3956
153SH,19.39170010886497,-99.25968143907762,3957
153SH,19.389177123370263,-99.26219372593859,3958
153SH,19.388099680113907,-99.26294000985052,3959
153SH,19.3860750749424,-99.26356320408546,3960
153SH,19.384858272644315,-99.26421438308802,3961
153SH,19.384555357030884,-99.26496149613158,3962
153SH,19.384212506610815,-99.26602941967543,3963
153SH,19.3839436681137,-99.26637345999609,3964
153SH,19.384118951766723,-99.26012990551172,3965
153SH,19.387568385677536,-99.25587203972248,3966
153SH,19.390244532918214,-99.25078345750906,3967
153SH,19.38838190254505,-99.24838519883441,3968
153SH,19.386912599999995,-99.24806540000002,3969
153SH,19.387340714686626,-99.24942017578273,3970
153SH,19.38771291989522,-99.25229096023487,3971
153SH,19.386923836599255,-99.25331607326773,3972
153SH,19.38446967285571,-99.25679799903797,3973
153SH,19.375391722093028,-99.2614876379919,3974
153SH,19.374774911180104,-99.26093785162192,3975
154SH,19.3185957,-99.1410161,3976
154SH,19.320945860733236,-99.14390599117887,3977
154SH,19.32097594820093,-99.14432981207514,3978
154SH,19.321485512580402,-99.1485897690315,3979
154SH,19.320313934684073,-99.15054157477913,3980
154SH,19.321082180880495,-99.15567508119359,3981
154SH,19.320643652141893,-99.1589690578297,3982
154SH,19.321013412628552,-99.15946530708749,3983
154SH,19.321908233992726,-99.16063608943152,3984
154SH,19.322244335409202,-99.16108482714706,3985
154SH,19.322750681178807,-99.16174984902295,3986
154SH,19.325057330583892,-99.16652552721881,3987
154SH,19.324854921949505,-99.16962569519914,3988
154SH,19.326722367284326,-99.17284526090141,3989
155SH,19.34695539523692,-99.19015379233426,3990
155SH,19.34784067109235,-99.190352370121,3991
155SH,19.34945770460129,-99.18900048360041,3992
155SH,19.349760645933117,-99.18810818640341,3993
155SH,19.349645790279844,-99.18686751921472,3994
155SH,19.347945527718743,-99.18723304585583,3995
155SH,19.348005748109866,-99.18721328852826,3996
155SH,19.348410249003745,-99.18708313934881,3997
155SH,19.348794153093486,-99.18696499295208,3998
155SH,19.348403188018498,-99.18540113392365,3999
155SH,19.34781574195359,-99.18354673734231,4000
155SH,19.347322924615355,-99.18190273316922,4001
155SH,19.345495453344256,-99.17182621302112,4002
155SH,19.345447027752307,-99.17142847012822,4003
155SH,19.345446960612204,-99.171427918679,4004
155SH,19.345022202598084,-99.16789203257913,4005
155SH,19.34496778387542,-99.16744496731549,4006
155SH,19.344549420043418,-99.16406359658772,4007
155SH,19.344204233119893,-99.1609973915266,4008
